F = 2  K = 10  m = 267  n = 22
 x1 ∧ x14 ∧ x22   q = 0.056518651119501176  Z-Score = -3.978867163241503  rejected
 x14 ∧ x22   q = 0.05440275220121814  Z-Score = -3.6058483666876113  rejected
 x1 ∧ x22   q = 0.04903494820182984  Z-Score = -2.238112779323345  not rejected
 x1 ∧ x14 ∧  q = 0.04576657718759922  Z-Score = 1.8650939827694533  not rejected
 ¬x22   q = 0.04433134473323641  Z-Score = 7.4603759310778175  rejected
 x22   q = 0.04433134473323639  Z-Score = -1.6164147850668606  not rejected
 x1 ∧ x4 ∧ x14 ∧  q = 0.04034027285696342  Z-Score = -3.108489971282424  rejected
 x14 ∧  q = 0.039759636794943785  Z-Score = 2.7354711747285325  rejected
 ¬x14 ∧  q = 0.039759636794943785  Z-Score = 3.108489971282424  rejected
 x1 ∧ x4 ∧ x14 ∧ x22   q = 0.03967849353876657  Z-Score = -5.968300744862254  rejected
